#               x                 y                 z               U_x               U_y               U_z                 p
    6.6174449e-20             0.025            0.0005  -2.576953008e-18   -4.51398903e-19                 0    -0.01411014003
       0.00078125             0.025            0.0005   -0.000743719723     0.02788168584                 0    -0.01449583587
        0.0015625             0.025            0.0005    -0.00264582314     0.05281379788                 0    -0.01525302379
       0.00234375             0.025            0.0005   -0.005663086429     0.07491137642                 0    -0.01593485687
         0.003125             0.025            0.0005    -0.00963661709     0.09431918787                 0    -0.01652318582
       0.00390625             0.025            0.0005    -0.01441725161      0.1112012465                 0     -0.0170576155
        0.0046875             0.025            0.0005    -0.01988195346      0.1257337948                 0    -0.01755657479
       0.00546875             0.025            0.0005    -0.02591750677      0.1380984744                 0    -0.01803558268
          0.00625             0.025            0.0005    -0.03242124945      0.1484763387                 0    -0.01850981118
       0.00703125             0.025            0.0005    -0.03930188584      0.1570428099                 0    -0.01899286507
        0.0078125             0.025            0.0005    -0.04647931796      0.1639635911                 0    -0.01949642164
       0.00859375             0.025            0.0005    -0.05388418885      0.1693915308                 0    -0.02003018613
         0.009375             0.025            0.0005    -0.06145724489      0.1734644097                 0    -0.02060189883
       0.01015625             0.025            0.0005    -0.06914853784      0.1763035849                 0    -0.02121738522
        0.0109375             0.025            0.0005    -0.07691651547      0.1780134013                 0     -0.0218806336
       0.01171875             0.025            0.0005    -0.08472704909       0.178681259                 0    -0.02259388076
           0.0125             0.025            0.0005    -0.09255243652      0.1783782178                 0    -0.02335769201
       0.01328125             0.025            0.0005     -0.1003704106      0.1771600154                 0    -0.02417102785
        0.0140625             0.025            0.0005     -0.1081631744      0.1750683847                 0    -0.02503129324
       0.01484375             0.025            0.0005     -0.1159164763      0.1721325643                 0    -0.02593436884
         0.015625             0.025            0.0005     -0.1236187322      0.1683709133                 0    -0.02687462629
       0.01640625             0.025            0.0005     -0.1312601954      0.1637925589                 0    -0.02784493117
        0.0171875             0.025            0.0005     -0.1388321721      0.1583990261                 0     -0.0288366391
       0.01796875             0.025            0.0005     -0.1463262779      0.1521858129                 0      -0.029839591
          0.01875             0.025            0.0005     -0.1537337265       0.145143896                 0    -0.03084211417
       0.01953125             0.025            0.0005     -0.1610446436      0.1372611632                 0    -0.03183103639
        0.0203125             0.025            0.0005     -0.1682473971      0.1285237813                 0    -0.03279172026
       0.02109375             0.025            0.0005     -0.1753279334      0.1189175195                 0    -0.03370812527
         0.021875             0.025            0.0005     -0.1822691124      0.1084290519                 0    -0.03456290505
       0.02265625             0.025            0.0005     -0.1890500323     0.09704727209                 0     -0.0353375476
        0.0234375             0.025            0.0005     -0.1956453377     0.08476465162                 0    -0.03601256607
       0.02421875             0.025            0.0005     -0.2020245079     0.07157868092                 0     -0.0365677476
            0.025             0.025            0.0005      -0.208151124     0.05749342862                 0     -0.0369824698
       0.02578125             0.025            0.0005      -0.213982124      0.0425212592                 0    -0.03723609453
        0.0265625             0.025            0.0005     -0.2194670465     0.02668474402                 0    -0.03730841758
       0.02734375             0.025            0.0005     -0.2245472547     0.01001879111                 0    -0.03718015932
         0.028125             0.025            0.0005      -0.229155334   -0.007426944248                 0    -0.03683383494
       0.02890625             0.025            0.0005     -0.2332146288    -0.02558539851                 0    -0.03625428519
        0.0296875             0.025            0.0005     -0.2366387117    -0.04436923395                 0    -0.03542942324
       0.03046875             0.025            0.0005     -0.2393312624    -0.06366760161                 0    -0.03435139546
          0.03125             0.025            0.0005      -0.241186504    -0.08334270716                 0    -0.03301738651
       0.03203125             0.025            0.0005     -0.2420901031     -0.1032264192                 0    -0.03143060869
        0.0328125             0.025            0.0005     -0.2419208593      -0.123116999                 0    -0.02960129951
       0.03359375             0.025            0.0005     -0.2405533909     -0.1427762673                 0    -0.02754763021
         0.034375             0.025            0.0005     -0.2378620141     -0.1619276095                 0    -0.02529646569
       0.03515625             0.025            0.0005     -0.2337260062     -0.1802553282                 0    -0.02288387916
        0.0359375             0.025            0.0005      -0.228036377     -0.1974059558                 0    -0.02035530546
       0.03671875             0.025            0.0005     -0.2207041589     -0.2129922064                 0    -0.01776520653
           0.0375             0.025            0.0005     -0.2116700535     -0.2266002447                 0    -0.01517612404
       0.03828125             0.025            0.0005     -0.2009150415     -0.2378008521                 0     -0.0126570141
        0.0390625             0.025            0.0005     -0.1884712887     -0.2461648245                 0    -0.01028080486
       0.03984375             0.025            0.0005     -0.1744323965     -0.2512825463                 0   -0.008121192324
         0.040625             0.025            0.0005     -0.1589617986      -0.252787133                 0   -0.006248793426
       0.04140625             0.025            0.0005     -0.1422979691     -0.2503798787                 0   -0.004726897905
        0.0421875             0.025            0.0005     -0.1247551524     -0.2438560684                 0   -0.003607185864
       0.04296875             0.025            0.0005     -0.1067185978     -0.2331286486                 0   -0.002925875789
          0.04375             0.025            0.0005     -0.0886338068     -0.2182469478                 0   -0.002700808963
       0.04453125             0.025            0.0005    -0.07099006018     -0.1994077237                 0   -0.002929979047
        0.0453125             0.025            0.0005    -0.05429942783     -0.1769563793                 0    -0.00359194804
       0.04609375             0.025            0.0005     -0.0390730245     -0.1513772263                 0   -0.004647667881
         0.046875             0.025            0.0005    -0.02579530028     -0.1232729599                 0   -0.006042140489
       0.04765625             0.025            0.0005    -0.01490206723    -0.09333460913                 0   -0.007717812761
        0.0484375             0.025            0.0005   -0.006805509785    -0.06230538359                 0   -0.009669137805
       0.04921875             0.025            0.0005   -0.001852355644    -0.03095019985                 0    -0.01176402654
             0.05             0.025            0.0005                 0                 0                 0    -0.01280917434
