#               x                 y                 z               U_x               U_y               U_z                 p
            0.025                 0            0.0005   1.742864927e-18  -2.145604756e-20                 0    0.002606039909
            0.025        0.00078125            0.0005    -0.01145710521   3.430747545e-06                 0     0.00260371622
            0.025         0.0015625            0.0005    -0.02218357546    2.37482673e-06                 0    0.002595419324
            0.025        0.00234375            0.0005    -0.03229821724    -9.5580801e-06                 0    0.002578169749
            0.025          0.003125            0.0005    -0.04190802775  -3.493062295e-05                 0    0.002548817336
            0.025        0.00390625            0.0005    -0.05110584227  -7.288038163e-05                 0    0.002503810713
            0.025         0.0046875            0.0005     -0.0599733206  -0.0001189957132                 0    0.002438591209
            0.025        0.00546875            0.0005    -0.06858188832  -0.0001656045794                 0    0.002347763735
            0.025           0.00625            0.0005    -0.07699332899  -0.0002019327013                 0     0.00222516478
            0.025        0.00703125            0.0005    -0.08526017775  -0.0002142382228                 0    0.002063859696
            0.025         0.0078125            0.0005     -0.0934258856  -0.0001859476233                 0    0.001856117336
            0.025        0.00859375            0.0005     -0.1015247796  -9.780322675e-05                 0    0.001593374405
            0.025          0.009375            0.0005      -0.109581856    7.19648675e-05                 0    0.001266197613
            0.025        0.01015625            0.0005     -0.1176124416   0.0003474280987                 0   0.0008642529807
            0.025         0.0109375            0.0005     -0.1256217628    0.000754695635                 0   0.0003762918832
            0.025        0.01171875            0.0005     -0.1336044659    0.001321583603                 0  -0.0002098363531
            0.025            0.0125            0.0005     -0.1415441352    0.002077204322                 0  -0.0009071355515
            0.025        0.01328125            0.0005     -0.1494128628    0.003051464908                 0   -0.001729365459
            0.025         0.0140625            0.0005     -0.1571709237    0.004274469964                 0   -0.002690887599
            0.025        0.01484375            0.0005     -0.1647666211    0.005775818583                 0   -0.003806444684
            0.025          0.015625            0.0005      -0.172136362    0.007583798976                 0   -0.005090862193
            0.025        0.01640625            0.0005     -0.1792050184    0.009724492506                 0   -0.006558669533
            0.025         0.0171875            0.0005     -0.1858866298      0.0122207958                 0    -0.00822363869
            0.025        0.01796875            0.0005      -0.192085493     0.01509138641                 0    -0.01009823944
            0.025           0.01875            0.0005      -0.197697664     0.01834966023                 0    -0.01219303088
            0.025        0.01953125            0.0005     -0.2026128921     0.02200267378                 0    -0.01451599113
            0.025         0.0203125            0.0005     -0.2067169766     0.02605014612                 0    -0.01707180909
            0.025        0.02109375            0.0005     -0.2098944889      0.0304835714                 0    -0.01986118686
            0.025          0.021875            0.0005     -0.2120317976     0.03528548719                 0    -0.02288018081
            0.025        0.02265625            0.0005     -0.2130202981     0.04042894912                 0    -0.02611962533
            0.025         0.0234375            0.0005     -0.2127597241     0.04587726298                 0    -0.02956468107
            0.025        0.02421875            0.0005      -0.211161381     0.05158401673                 0    -0.03319455981
            0.025             0.025            0.0005      -0.208151124     0.05749342862                 0     -0.0369824698
            0.025        0.02578125            0.0005     -0.2036719139     0.06354101169                 0    -0.04089580355
            0.025         0.0265625            0.0005     -0.1976857831     0.06965454317                 0    -0.04489658583
            0.025        0.02734375            0.0005     -0.1901750542     0.07575530349                 0    -0.04894218416
            0.025          0.028125            0.0005      -0.181142678     0.08175952388                 0    -0.05298626453
            0.025        0.02890625            0.0005     -0.1706115963     0.08757996509                 0    -0.05697995314
            0.025         0.0296875            0.0005     -0.1586230704     0.09312754109                 0    -0.06087315103
            0.025        0.03046875            0.0005     -0.1452339419     0.09831289652                 0    -0.06461593705
            0.025           0.03125            0.0005     -0.1305128162      0.1030478485                 0    -0.06815998662
            0.025        0.03203125            0.0005     -0.1145351631      0.1072466149                 0    -0.07145993247
            0.025         0.0328125            0.0005    -0.09737732031      0.1108267734                 0    -0.07447459708
            0.025        0.03359375            0.0005    -0.07910934681      0.1137099225                 0    -0.07716803824
            0.025          0.034375            0.0005    -0.05978662317      0.1158220525                 0    -0.07951036597
            0.025        0.03515625            0.0005    -0.03944003265      0.1170936838                 0    -0.08147827441
            0.025         0.0359375            0.0005    -0.01806450037      0.1174600065                 0    -0.08305518205
            0.025        0.03671875            0.0005    0.004394386872      0.1168608193                 0    -0.08423177977
            0.025            0.0375            0.0005      0.0280557146      0.1152406499                 0    -0.08500530327
            0.025        0.03828125            0.0005     0.05312071457      0.1125501109                 0    -0.08537873877
            0.025         0.0390625            0.0005     0.07989197022      0.1087481008                 0     -0.0853610696
            0.025        0.03984375            0.0005      0.1087930538      0.1038051451                 0    -0.08496639714
            0.025          0.040625            0.0005      0.1403865409     0.09770909382                 0      -0.084213148
            0.025        0.04140625            0.0005      0.1753866312     0.09047347414                 0    -0.08312371473
            0.025         0.0421875            0.0005      0.2146607274     0.08214868435                 0    -0.08172426241
            0.025        0.04296875            0.0005      0.2592122155     0.07283602275                 0    -0.08004489282
            0.025           0.04375            0.0005      0.3101348307      0.0627037834                 0    -0.07812027905
            0.025        0.04453125            0.0005      0.3685281814     0.05200358068                 0    -0.07599078826
            0.025         0.0453125            0.0005      0.4353653918     0.04108366897                 0    -0.07370393916
            0.025        0.04609375            0.0005      0.5113088477     0.03039437888                 0    -0.07131590927
            0.025          0.046875            0.0005      0.5964802289     0.02047846411                 0    -0.06889351602
            0.025        0.04765625            0.0005      0.6902076409     0.01193642614                 0    -0.06651392323
            0.025         0.0484375            0.0005      0.7907954002    0.005386046275                 0    -0.06422541983
            0.025        0.04921875            0.0005      0.8953786834    0.001382874132                 0    -0.06210277941
            0.025              0.05            0.0005                 1                 0                 0    -0.06109974166
